workload_multiplier,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,10.729942,10.822655,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
2.000000,21.483655,21.645311,0.910000,0.910000,33.750000,0.910000,0.000000,0.900000
3.000000,31.932509,32.467966,0.910000,0.910000,50.625000,0.910000,0.000000,0.900000
4.000000,43.510865,38.668021,0.910000,0.910000,53.300000,0.910000,0.000000,0.900000
5.000000,55.503545,32.467966,0.910000,0.910000,3.600000,0.910000,0.000000,0.900000
6.000000,66.744552,38.961559,0.910000,0.910000,3.600000,0.910000,0.000000,0.900000
7.000000,78.043527,45.455153,0.910000,0.910000,3.600000,0.910000,0.000000,0.900000
8.000000,89.151473,51.948746,0.910000,0.910000,3.600000,0.910000,0.000000,0.900000
9.000000,100.291056,58.442339,0.910000,0.910000,3.600000,0.910000,0.000000,0.900000
10.000000,111.207049,64.935932,0.910000,0.910000,3.600000,0.910000,0.000000,0.900000
