failure_rate,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
0.020000,10.903019,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
0.040000,11.031400,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
0.060000,10.850397,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
0.080000,11.000170,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
0.100000,10.955165,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
0.120000,9.716213,11.726635,0.820000,0.820000,31.875000,0.820000,0.000000,1.700000
0.140000,9.760951,11.726635,0.820000,0.820000,31.875000,0.820000,0.000000,1.700000
0.160000,9.775895,11.726635,0.820000,0.820000,31.875000,0.820000,0.000000,1.700000
0.180000,9.775175,11.726635,0.820000,0.820000,31.875000,0.820000,0.000000,1.700000
0.200000,9.822500,11.726635,0.820000,0.820000,31.875000,0.820000,0.000000,1.700000
