micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,10.922931,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
2.000000,11.103599,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
3.000000,10.918645,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
4.000000,10.903375,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
5.000000,10.927325,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
6.000000,10.998995,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
7.000000,10.945446,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
8.000000,10.867579,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
9.000000,10.864851,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
10.000000,10.904470,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
12.000000,10.920306,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
14.000000,10.919919,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
16.000000,10.958019,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
18.000000,10.893646,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
20.000000,10.892282,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
