incomplete_micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,10.897349,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
2.000000,11.196662,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
3.000000,10.947272,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
4.000000,10.887498,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
5.000000,10.904829,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
6.000000,10.843794,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
7.000000,10.911412,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
8.000000,10.927413,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
9.000000,10.928388,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
10.000000,10.958453,10.388178,0.910000,0.910000,16.875000,0.910000,0.000000,0.900000
