workload_multiplier,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,11.939433,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
2.000000,23.819789,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
3.000000,35.551022,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
4.000000,47.454056,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
5.000000,59.536333,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
6.000000,71.472489,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
7.000000,83.606100,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
8.000000,95.186500,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
9.000000,106.732456,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
10.000000,118.892811,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
