failure_rate,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
0.020000,11.444389,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
0.040000,11.469856,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
0.060000,11.400300,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
0.080000,11.413300,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
0.100000,11.419922,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
0.120000,11.390312,0.000000,1.000000,1.000000,0.000000,0.800000,0.800000,0.000000
0.140000,11.389263,0.000000,1.000000,1.000000,0.000000,0.800000,0.800000,0.000000
0.160000,11.484962,0.000000,1.000000,1.000000,0.000000,0.800000,0.800000,0.000000
0.180000,11.402500,0.000000,1.000000,1.000000,0.000000,0.800000,0.800000,0.000000
0.200000,11.404887,0.000000,1.000000,1.000000,0.000000,0.800000,0.800000,0.000000
