micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,11.936200,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
2.000000,11.909922,0.000000,1.000000,0.500000,0.000000,0.900000,0.900000,0.000000
3.000000,11.880411,0.000000,1.000000,0.333333,0.000000,0.900000,0.900000,0.000000
4.000000,11.847844,0.000000,1.000000,0.250000,0.000000,0.900000,0.900000,0.000000
5.000000,11.838156,0.000000,1.000000,0.200000,0.000000,0.900000,0.900000,0.000000
6.000000,11.808844,0.000000,1.000000,0.166667,0.000000,0.900000,0.900000,0.000000
7.000000,11.798844,0.000000,1.000000,0.142857,0.000000,0.900000,0.900000,0.000000
8.000000,11.754233,0.000000,1.000000,0.125000,0.000000,0.900000,0.900000,0.000000
9.000000,11.824878,0.000000,1.000000,0.111111,0.000000,0.900000,0.900000,0.000000
10.000000,11.884333,0.000000,1.000000,0.100000,0.000000,0.900000,0.900000,0.000000
12.000000,11.858689,0.000000,1.000000,0.083333,0.000000,0.900000,0.900000,0.000000
14.000000,11.867078,0.000000,1.000000,0.071429,0.000000,0.900000,0.900000,0.000000
16.000000,11.888922,0.000000,1.000000,0.062500,0.000000,0.900000,0.900000,0.000000
18.000000,11.825822,0.000000,1.000000,0.055556,0.000000,0.900000,0.900000,0.000000
20.000000,11.877967,0.000000,1.000000,0.050000,0.000000,0.900000,0.900000,0.000000
