# ==========================================
# IOTSYN.COM - IoT Synthetic Data Engine
# ==========================================
# GENERATOR VERSION: 3.1.0
# UNIQUE ID: iotsyn_69d115dc8c6862.91946550
# DOMAIN: IIoT_Network
# CONFIGURATION: Attack rate: 16%
# ROWS: 10000
# INTERVAL SECONDS: 10
# SEED: 3660478114
# LICENSE: CC0 1.0 Universal
# STATISTICAL MODEL: Normal: Periodic polling (protocol-specific packet sizes), deterministic intervals + jitter Attacks: Burst-based Markov state machine (MitM, Replay, False Data Injection, DoS, Recon) Protocols: Modbus TCP (35%), OPC UA (25%), DNP3 (15%), BACnet (8%), EtherNet/IP (10%), MQTT (7%) Device roles: PLC, HMI, SCADA Server, RTU, Engineering Workstation, Historian
# GENERATION DATE: 2026-04-04 13:45:00
# LICENSE: CC0 1.0 Universal (Public Domain)
# CITATION: IoTSyn Dataset Generator (2026). Available: https://iotsyn.com
# ==========================================
#
Timestamp,Source_IP,Dest_IP,Source_Port,Dest_Port,Protocol,Packet_Size,Connection_Duration,Packets_Sent,Bytes_Transferred,Flow_Rate,Device_Role,Function_Code,Attack_Type,Attack_Phase,Label
"2026-03-28 13:45:00",10.0.1.16,10.0.1.22,12960,20000,DNP3,101,0.39,7,707,1814.42,PLC,16,Normal,none,Normal
"2026-03-28 13:45:10",10.0.1.15,10.0.1.28,61372,1883,MQTT,160,0.233,3,480,2063.28,Historian,0,Normal,none,Normal
"2026-03-28 13:45:20",187.180.129.5,10.0.1.20,56621,502,Modbus_TCP,80,0.008,3,240,30207.82,External,4,Reconnaissance,recon,Malicious
"2026-03-28 13:45:30",187.180.129.5,10.0.1.12,6711,502,Modbus_TCP,50,0.017,3,150,9030.46,External,1,Reconnaissance,recon,Malicious
"2026-03-28 13:45:40",187.180.129.5,10.0.1.18,47494,502,Modbus_TCP,61,0.049,2,122,2476.13,External,16,Reconnaissance,recon,Malicious
"2026-03-28 13:45:50",187.180.129.5,10.0.1.14,18596,502,Modbus_TCP,65,0.014,2,130,9015.09,External,1,Reconnaissance,recon,Malicious
"2026-03-28 13:46:00",187.180.129.5,10.0.1.23,5775,502,Modbus_TCP,49,0.034,3,147,4367.64,External,1,Reconnaissance,recon,Malicious
"2026-03-28 13:46:10",187.180.129.5,10.0.1.14,32133,502,Modbus_TCP,71,0.038,2,142,3705.1,External,3,Reconnaissance,escalation,Malicious
"2026-03-28 13:46:20",187.180.129.5,10.0.1.21,62585,502,Modbus_TCP,100,0.04,3,300,7590.33,External,16,Reconnaissance,escalation,Malicious
"2026-03-28 13:46:30",187.180.129.5,10.0.1.26,11569,502,Modbus_TCP,70,0.003,3,210,67105.88,External,16,Reconnaissance,escalation,Malicious
"2026-03-28 13:46:40",187.180.129.5,10.0.1.20,40473,502,Modbus_TCP,69,0.021,3,207,9841.81,External,3,Reconnaissance,escalation,Malicious
"2026-03-28 13:46:50",187.180.129.5,10.0.1.26,8484,502,Modbus_TCP,82,0.016,3,246,15492.15,External,15,Reconnaissance,escalation,Malicious
"2026-03-28 13:47:00",187.180.129.5,10.0.1.23,22174,502,Modbus_TCP,73,0.034,3,219,6515.7,External,3,Reconnaissance,peak,Malicious
"2026-03-28 13:47:10",187.180.129.5,10.0.1.25,6901,502,Modbus_TCP,56,0.031,2,112,3578.54,External,15,Reconnaissance,peak,Malicious
"2026-03-28 13:47:20",187.180.129.5,10.0.1.13,28763,502,Modbus_TCP,87,0.036,3,261,7204.79,External,15,Reconnaissance,peak,Malicious
"2026-03-28 13:47:30",187.180.129.5,10.0.1.15,1318,502,Modbus_TCP,66,0.016,1,66,4106.32,External,2,Reconnaissance,peak,Malicious
"2026-03-28 13:47:40",187.180.129.5,10.0.1.26,17028,502,Modbus_TCP,73,0.012,1,73,6084.88,External,3,Reconnaissance,peak,Malicious
"2026-03-28 13:47:50",187.180.129.5,10.0.1.21,21713,502,Modbus_TCP,82,0.047,1,82,1736.76,External,16,Reconnaissance,peak,Malicious
