num_fog_nodes,scheduling_latency_ms,workload_imbalance,scheduling_comm_kb,convergence_time_epochs
5.000000,0.000117,0.025012,0.156250,0.000000
10.000000,0.000221,0.050002,0.312500,0.000000
15.000000,0.000320,0.048999,0.468750,0.000000
20.000000,0.000405,0.045883,0.625000,0.000000
25.000000,0.000500,0.042866,0.781250,0.000000
30.000000,0.000558,0.040234,0.937500,0.000000
35.000000,0.000634,0.037975,1.093750,0.000000
40.000000,0.000707,0.036029,1.250000,0.000000
45.000000,0.000913,0.034339,1.406250,0.000000
50.000000,0.000929,0.032857,1.562500,0.000000
