workload_multiplier,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,0.119775,0.523358,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
2.000000,0.238106,1.046716,0.910000,0.090000,33.750000,0.910000,0.000000,0.900000
3.000000,0.358194,1.570074,0.910000,0.090000,50.625000,0.910000,0.000000,0.900000
4.000000,0.474404,2.093432,0.910000,0.090000,67.500000,0.910000,0.000000,0.900000
5.000000,0.586659,2.616790,0.910000,0.090000,84.375000,0.910000,0.000000,0.900000
6.000000,0.710772,3.140148,0.910000,0.090000,101.250000,0.910000,0.000000,0.900000
7.000000,0.823180,3.663506,0.910000,0.090000,118.125000,0.910000,0.000000,0.900000
8.000000,0.942407,4.186864,0.910000,0.090000,135.000000,0.910000,0.000000,0.900000
9.000000,1.065488,4.710222,0.910000,0.090000,151.875000,0.910000,0.000000,0.900000
10.000000,1.177629,5.233580,0.910000,0.090000,168.750000,0.910000,0.000000,0.900000
