failure_rate,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
0.020000,15.887512,9.206968,0.910000,0.910000,13.125000,0.910000,0.000000,0.700000
0.040000,15.705731,9.206968,0.910000,0.910000,13.125000,0.910000,0.000000,0.700000
0.060000,15.691238,9.206968,0.910000,0.910000,13.125000,0.910000,0.000000,0.700000
0.080000,15.699296,9.206968,0.910000,0.910000,13.125000,0.910000,0.000000,0.700000
0.100000,15.883971,9.206968,0.910000,0.910000,13.125000,0.910000,0.000000,0.700000
0.120000,13.831269,13.359548,0.820000,0.820000,26.250000,0.820000,0.000000,1.400000
0.140000,13.798983,13.359548,0.820000,0.820000,26.250000,0.820000,0.000000,1.400000
0.160000,13.822619,13.359548,0.820000,0.820000,26.250000,0.820000,0.000000,1.400000
0.180000,13.969849,13.359548,0.820000,0.820000,26.250000,0.820000,0.000000,1.400000
0.200000,13.785757,13.359548,0.820000,0.820000,26.250000,0.820000,0.000000,1.400000
