micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,11.994027,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
2.000000,11.370064,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
3.000000,11.436298,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
4.000000,11.786522,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
5.000000,11.643159,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
6.000000,11.349620,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
7.000000,11.469946,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
8.000000,11.889561,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
9.000000,11.303919,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
10.000000,11.345563,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
12.000000,11.339164,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
14.000000,11.312644,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
16.000000,11.896019,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
18.000000,11.407780,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
20.000000,11.283325,10.658337,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
