variable_value,primary_metric,secondary_metric_1,secondary_metric_2
1,0.498919,0.000000,0.000000
2,0.249040,0.000000,0.000000
3,0.126742,0.000000,0.000000
4,0.062495,0.000000,0.000000
5,0.031919,0.000000,0.000000
6,0.015842,0.000000,0.000000
7,0.007990,0.000000,0.000000
8,0.004264,0.000000,0.000000
9,0.002072,0.000000,0.000000
10,0.001054,0.000000,0.000000
12,0.000244,0.000000,0.000000
14,0.000091,0.000000,0.000000
16,0.000040,0.000000,0.000000
18,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000
