epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,1.343020,0.001403,0.828387,0.800000,2.000000,1.000000,0.138000,5,0.000255,0.000366,0.400000,1.341599,0.201240,0.000000,0.006806,0.000000
1,6.385572,0.001249,0.879592,0.055556,2.500000,1.000000,0.628000,3,0.000197,0.000198,0.106722,6.384764,0.957715,0.000000,0.002882,0.000000
2,8.074976,0.000363,0.914228,0.000000,0.000000,1.000000,0.778000,3,0.000128,0.000217,0.025881,8.074651,1.211198,0.000000,0.000000,0.000000
3,1.555551,0.001374,0.837447,0.271212,5.500000,1.000000,0.148000,5,0.000129,0.000206,0.400000,1.554151,0.233123,0.000000,0.006719,0.000000
4,2.815014,0.001306,0.893301,0.193333,4.999023,1.000000,0.270000,5,0.000076,0.000196,0.245855,2.813689,0.422053,0.000000,0.006132,0.000000
5,5.068338,0.001085,0.890776,0.141667,3.500000,1.000000,0.482000,4,0.000133,0.000211,0.166646,5.067428,0.760114,0.000000,0.003658,0.000000
6,4.635919,0.000724,0.914603,0.132143,2.500000,1.000000,0.448000,5,0.000117,0.000192,0.166067,4.635150,0.695272,0.000000,0.002678,0.000000
7,6.281453,0.000853,0.898194,0.075000,1.898438,1.000000,0.606000,5,0.000130,0.000201,0.103897,6.280553,0.942083,0.000000,0.001695,0.000000
8,2.071046,0.001135,0.841600,0.258810,5.500000,1.000000,0.200000,5,0.000082,0.000409,0.400000,2.069880,0.310482,0.000000,0.005538,0.000000
9,7.703793,0.000460,0.905356,0.000000,0.722656,1.000000,0.754000,5,0.000137,0.000465,0.025640,7.703297,1.155495,0.000000,0.000000,0.000000
10,5.981917,0.000748,0.933877,0.060000,1.898438,1.000000,0.600000,4,0.000103,0.000298,0.105725,5.981288,0.897193,0.000000,0.001746,0.000000
11,6.117564,0.000682,0.882153,0.066667,1.519531,1.000000,0.604000,4,0.000161,0.000509,0.105807,6.116962,0.917544,0.000000,0.001253,0.000000
12,4.850940,0.000721,0.901538,0.123810,2.421875,1.000000,0.468000,5,0.000142,0.000193,0.168993,4.850172,0.727526,0.000000,0.002207,0.000000
13,2.913886,0.001192,0.890660,0.208333,4.000000,1.000000,0.286000,4,0.000100,0.000197,0.245198,2.912882,0.436932,0.000000,0.004313,0.000000
14,2.785342,0.001236,0.878644,0.183810,4.339844,1.000000,0.270000,5,0.000073,0.000178,0.245229,2.784044,0.417607,0.000000,0.005233,0.000000
15,1.478970,0.001190,0.782222,0.249286,5.000000,1.000000,0.138000,5,0.000086,0.000198,0.400000,1.477746,0.221662,0.000000,0.005504,0.000000
16,6.472655,0.000687,1.009762,0.054545,1.843750,1.000000,0.622000,4,0.000143,0.000294,0.103363,6.472017,0.970802,0.000000,0.001619,0.000000
17,5.704763,0.000731,0.943219,0.066667,1.000000,1.000000,0.550000,4,0.000128,0.000185,0.100116,5.704058,0.855609,0.000000,0.001740,0.000000
18,2.934270,0.001057,0.886525,0.197143,3.500000,1.000000,0.290000,5,0.000090,0.000213,0.245036,2.933094,0.439964,0.000000,0.004543,0.000000
19,4.579927,0.001113,0.986741,0.135000,5.558594,1.000000,0.446000,4,0.000130,0.000187,0.167826,4.578954,0.686843,0.000000,0.003828,0.000000
20,7.537911,0.000450,1.029315,0.000000,0.000000,1.000000,0.744000,4,0.000182,0.000187,0.024790,7.537448,1.130617,0.000000,0.000000,0.000000
21,1.793316,0.001644,0.961250,0.268333,11.597656,1.000000,0.180000,4,0.000097,0.000226,0.400000,1.791988,0.268798,0.000000,0.006518,0.000000
22,3.513122,0.001097,0.879123,0.181538,10.097656,1.000000,0.340000,5,0.000085,0.000177,0.249678,3.511982,0.526797,0.000000,0.004828,0.000000
23,2.750052,0.001224,0.880385,0.198077,5.500000,1.000000,0.268000,5,0.000119,0.000206,0.245675,2.748792,0.412319,0.000000,0.005764,0.000000
24,1.458718,0.001300,0.722515,0.242222,15.046875,1.000000,0.142000,5,0.000070,0.000205,0.400000,1.457405,0.218611,0.000000,0.006276,0.000000
25,2.982835,0.002507,0.854848,0.174545,27.740234,1.000000,0.284000,5,0.000122,0.000195,0.246402,2.980290,0.447043,0.000000,0.005934,0.000000
26,7.759977,0.002460,0.877597,0.000000,27.096680,1.000000,0.746000,5,0.000155,0.000221,0.023286,7.757405,1.163611,0.000000,0.000000,0.000000
27,1.539530,0.002654,0.682117,0.240000,37.660156,1.000000,0.146000,5,0.000111,0.000228,0.400000,1.536851,0.230528,0.000000,0.013090,0.000000
28,1.458675,0.005208,0.682976,0.234545,65.554688,1.000000,0.136000,5,0.000078,0.000211,0.400000,1.453452,0.218018,0.000000,0.025828,0.000000
29,1.970136,0.007934,0.684865,0.234545,102.621094,1.000000,0.188000,5,0.000080,0.000182,0.400000,1.962188,0.294328,0.000000,0.039535,0.000000
30,1.486954,0.000773,0.843830,0.800000,2.000000,1.000000,0.154000,4,0.000083,0.000233,0.400000,1.486300,0.222945,0.000000,0.003004,0.000000
31,6.396024,0.000550,0.916290,0.066667,0.500000,1.000000,0.632000,4,0.000165,0.000192,0.104773,6.395532,0.959330,0.000000,0.000777,0.000000
32,7.210094,0.000319,0.955377,0.000000,0.000000,1.000000,0.698000,5,0.000127,0.000214,0.016046,7.209700,1.081455,0.000000,0.000000,0.000000
33,5.691775,0.000765,0.906397,0.066667,1.500000,1.000000,0.558000,4,0.000141,0.000498,0.100956,5.691133,0.853670,0.000000,0.001961,0.000000
34,6.004041,0.000407,0.938137,0.057143,1.000000,1.000000,0.596000,5,0.000126,0.000419,0.104072,6.003602,0.900540,0.000000,0.001284,0.000000
35,8.113012,0.000254,0.862397,0.000000,0.000000,1.000000,0.784000,2,0.000093,0.000246,0.024126,8.112876,1.216931,0.000000,0.000000,0.000000
36,5.845857,0.000431,0.934222,0.057143,1.000000,1.000000,0.570000,5,0.000114,0.000197,0.104747,5.845384,0.876808,0.000000,0.001246,0.000000
37,7.728591,0.000603,0.891499,0.000000,0.398438,1.000000,0.756000,4,0.000105,0.000194,0.031684,7.727987,1.159198,0.000000,0.000000,0.000000
38,1.858255,0.000956,0.827200,0.247619,4.000000,1.000000,0.184000,5,0.000069,0.000214,0.400000,1.857285,0.278593,0.000000,0.004514,0.000000
39,3.481776,0.001214,0.860234,0.216667,5.019531,1.000000,0.334000,5,0.000072,0.000207,0.253553,3.480497,0.522075,0.000000,0.004674,0.000000
40,1.401617,0.001317,0.820426,0.276667,6.000000,1.000000,0.132000,5,0.000081,0.000187,0.400000,1.400269,0.210040,0.000000,0.006446,0.000000
41,5.430793,0.000861,0.879127,0.066667,2.226562,1.000000,0.534000,5,0.000142,0.000192,0.102805,5.429881,0.814482,0.000000,0.002226,0.000000
42,1.431225,0.001160,0.858947,0.238355,5.500000,1.000000,0.136000,5,0.000080,0.000206,0.400000,1.430023,0.214503,0.000000,0.005690,0.000000
43,3.080183,0.001523,0.939434,0.208333,5.000000,1.000000,0.296000,4,0.000118,0.000182,0.244986,3.078862,0.461829,0.000000,0.005699,0.000000
44,1.990009,0.001256,0.872000,0.275000,6.000000,1.000000,0.192000,5,0.000090,0.000246,0.400000,1.988722,0.298308,0.000000,0.006061,0.000000
45,4.942742,0.001207,0.894528,0.133333,6.597656,1.000000,0.472000,5,0.000106,0.000213,0.167153,4.941491,0.741224,0.000000,0.004585,0.000000
46,3.760331,0.001070,0.950298,0.193333,6.828125,1.000000,0.354000,4,0.000071,0.000215,0.248899,3.759405,0.563911,0.000000,0.004002,0.000000
47,2.793312,0.000841,0.874630,0.193333,6.328125,1.000000,0.266000,5,0.000088,0.000189,0.245237,2.792442,0.418866,0.000000,0.003798,0.000000
48,8.263871,0.000485,0.999501,0.000000,0.328125,1.000000,0.802000,4,0.000139,0.000192,0.027209,8.263327,1.239499,0.000000,0.000000,0.000000
49,1.352678,0.001212,0.715870,0.246886,8.917969,1.000000,0.132000,5,0.000165,0.000192,0.400000,1.351428,0.202714,0.000000,0.005954,0.000000
50,1.916463,0.001028,0.912500,0.228456,19.042969,1.000000,0.186000,5,0.000090,0.000333,0.400000,1.915422,0.287313,0.000000,0.005017,0.000000
51,4.720467,0.000686,0.863527,0.114286,9.687500,1.000000,0.464000,5,0.000107,0.000210,0.164892,4.719717,0.707958,0.000000,0.002569,0.000000
52,3.579278,0.002480,0.854379,0.166032,34.046875,1.000000,0.344000,5,0.000069,0.000192,0.248266,3.576763,0.536514,0.000000,0.004241,0.000000
53,2.899428,0.004049,0.859541,0.187632,47.730469,1.000000,0.272000,5,0.000117,0.000180,0.244993,2.895341,0.434301,0.000000,0.010026,0.000000
