epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,1.520380,0.002337,0.863237,0.231429,65.500000,1.000000,0.136000,32,0.000399,0.001395,0.052621,1.518210,0.227731,0.000000,0.050036,0.000000
1,6.259306,0.004264,0.916828,0.077143,123.500000,1.000000,0.444857,31,0.000588,0.001308,0.050619,6.255463,0.938319,0.000000,0.016563,0.000000
2,2.498452,0.002877,0.879649,0.180000,86.499023,1.000000,0.226571,32,0.000428,0.001656,0.035180,2.495777,0.374367,0.000000,0.036330,0.000000
3,6.491273,0.004338,0.916762,0.068571,121.999023,1.000000,0.462857,30,0.000610,0.001432,0.048204,6.487489,0.973123,0.000000,0.014711,0.000000
4,1.827848,0.002305,0.863574,0.214286,67.500000,1.000000,0.165429,31,0.000339,0.001919,0.045415,1.825776,0.273866,0.000000,0.041483,0.000000
5,5.644653,0.004138,0.883842,0.120000,86.000000,1.000000,0.367143,27,0.000577,0.001733,0.059023,5.641405,0.846211,0.000000,0.034668,0.000000
6,2.746288,0.002912,0.880438,0.171429,85.000000,1.000000,0.250571,31,0.000440,0.001527,0.033079,2.743658,0.411549,0.000000,0.035205,0.000000
7,3.098360,0.002970,0.870035,0.154286,77.000000,1.000000,0.282857,28,0.000415,0.001988,0.029490,3.095930,0.464390,0.000000,0.032567,0.000000
8,2.838074,0.002103,0.863748,0.248571,68.500000,1.000000,0.110571,34,0.000371,0.001902,0.116412,2.836006,0.425401,0.000000,0.046090,0.000000
9,2.931822,0.002332,0.859481,0.162857,65.828125,1.000000,0.270571,33,0.000482,0.001779,0.031284,2.929586,0.439438,0.000000,0.033720,0.000000
10,1.834354,0.002292,0.867440,0.214286,73.441406,1.000000,0.166286,35,0.000338,0.001356,0.045268,1.832040,0.274806,0.000000,0.043289,0.000000
11,7.246907,0.004533,0.930020,0.017143,109.878906,1.000000,0.550000,29,0.000499,0.001616,0.040064,7.243049,1.086457,0.000000,0.003740,0.000000
12,0.275741,0.001609,0.841553,0.291429,51.000000,1.000000,0.014571,35,0.000178,0.001797,0.166599,0.274122,0.041118,0.000000,0.055990,0.000000
13,1.571317,0.001848,0.857909,0.231429,56.831055,1.000000,0.139714,34,0.000276,0.001250,0.052551,1.569489,0.235423,0.000000,0.044594,0.000000
14,1.975112,0.002355,0.864187,0.205714,67.546875,1.000000,0.178286,35,0.000333,0.001387,0.042347,1.972718,0.295908,0.000000,0.048332,0.000000
15,6.685870,0.002802,0.899490,0.068571,69.089844,1.000000,0.461714,31,0.000548,0.001865,0.049430,6.683300,1.002495,0.000000,0.015406,0.000000
16,0.307655,0.001513,0.860571,0.291429,51.000000,1.000000,0.017429,34,0.000122,0.001828,0.166599,0.306174,0.045926,0.000000,0.051290,0.000000
17,6.755017,0.002975,0.945015,0.060000,71.071289,1.000000,0.483429,29,0.000497,0.001446,0.045946,6.752389,1.012858,0.000000,0.013530,0.000000
18,6.758667,0.003551,1.017611,0.060000,68.820312,1.000000,0.488286,23,0.000500,0.002103,0.045997,6.756255,1.013438,0.000000,0.014299,0.000000
19,2.163222,0.002151,0.922608,0.197143,58.726562,1.000000,0.195714,28,0.000418,0.001910,0.039743,2.161465,0.324220,0.000000,0.042478,0.000000
20,1.141326,0.002150,0.893420,0.248571,69.073242,1.000000,0.098857,30,0.000220,0.001637,0.063089,1.139467,0.170920,0.000000,0.059222,0.000000
21,6.788258,0.004862,1.007237,0.042857,91.675781,1.000000,0.499714,22,0.000570,0.001764,0.044820,6.785105,1.017766,0.000000,0.011154,0.000000
22,5.309310,0.003487,0.948885,0.128571,95.370117,1.000000,0.339714,28,0.000541,0.001896,0.062277,5.306469,0.795970,0.000000,0.033937,0.000000
23,7.055626,0.004527,1.019270,0.042857,90.671875,1.000000,0.513714,21,0.000596,0.002174,0.044196,7.052832,1.057925,0.000000,0.012479,0.000000
24,0.976976,0.002246,0.857152,0.257143,103.394531,1.000000,0.082000,35,0.000322,0.001617,0.070058,0.974698,0.146205,0.000000,0.054088,0.000000
25,3.993144,0.003270,0.935441,0.111429,107.956055,1.000000,0.366000,29,0.000550,0.001704,0.022060,3.990375,0.598556,0.000000,0.028767,0.000000
26,0.309852,0.001608,0.826278,0.291429,116.316406,1.000000,0.017429,35,0.000123,0.001412,0.166599,0.308235,0.046235,0.000000,0.056146,0.000000
27,0.303476,0.001650,0.826395,0.291429,137.867188,1.000000,0.016857,35,0.000121,0.001392,0.166599,0.301818,0.045273,0.000000,0.057458,0.000000
28,4.450822,0.003813,0.939231,0.171429,181.083984,1.000000,0.264000,29,0.000492,0.001399,0.074118,4.447620,0.667143,0.000000,0.055276,0.000000
29,3.353148,0.004064,0.905701,0.137143,195.883789,1.000000,0.311429,32,0.000437,0.001672,0.026329,3.349378,0.502407,0.000000,0.063911,0.000000
30,3.659930,0.003682,0.898135,0.120000,105.999023,1.000000,0.343429,31,0.000436,0.002106,0.023462,3.656610,0.548491,0.000000,0.026365,0.000000
31,1.850180,0.002485,0.875405,0.214286,77.500000,1.000000,0.168286,33,0.000374,0.001946,0.045338,1.847818,0.277173,0.000000,0.042325,0.000000
32,4.564627,0.003142,0.892030,0.162857,98.500000,1.000000,0.274286,33,0.000428,0.001624,0.070988,4.561628,0.684244,0.000000,0.032543,0.000000
33,4.942423,0.003274,0.884504,0.145714,90.499023,1.000000,0.309143,30,0.000399,0.002161,0.066989,4.939562,0.740934,0.000000,0.030602,0.000000
34,0.296150,0.001589,0.846494,0.291429,50.999023,1.000000,0.016000,35,0.000305,0.001969,0.166599,0.294552,0.044183,0.000000,0.055249,0.000000
35,3.802590,0.003485,0.884936,0.120000,90.998047,1.000000,0.347714,28,0.000551,0.001331,0.023445,3.799768,0.569965,0.000000,0.025637,0.000000
36,6.886992,0.004593,0.908970,0.051429,113.998047,1.000000,0.498571,27,0.000547,0.001824,0.044845,6.883358,1.032504,0.000000,0.011535,0.000000
37,3.165031,0.002848,0.865533,0.154286,66.997070,1.000000,0.290571,26,0.000380,0.002132,0.029519,3.162880,0.474432,0.000000,0.033206,0.000000
38,4.966028,0.003112,0.875633,0.145714,80.832031,1.000000,0.313143,29,0.000408,0.001960,0.066166,4.963402,0.744510,0.000000,0.030129,0.000000
39,6.908261,0.003986,0.900887,0.042857,109.490234,1.000000,0.506857,31,0.000532,0.002049,0.043851,6.904662,1.035699,0.000000,0.010152,0.000000
40,6.755661,0.004050,0.901212,0.051429,90.000000,1.000000,0.494286,25,0.000372,0.001793,0.045775,6.752688,1.012903,0.000000,0.011781,0.000000
41,6.136895,0.003144,0.884635,0.085714,60.115234,1.000000,0.436857,24,0.000401,0.001785,0.050936,6.134683,0.920202,0.000000,0.018849,0.000000
42,4.491556,0.003333,0.893327,0.085714,76.273438,1.000000,0.414000,26,0.000543,0.001923,0.018155,4.489015,0.673352,0.000000,0.019465,0.000000
43,1.701484,0.001910,0.869379,0.222857,49.332031,1.000000,0.152000,29,0.000355,0.001588,0.048700,1.699860,0.254979,0.000000,0.043556,0.000000
44,0.311700,0.001496,0.853832,0.291429,51.000000,1.000000,0.017714,35,0.000166,0.001450,0.166599,0.310193,0.046529,0.000000,0.052037,0.000000
45,6.462817,0.002961,0.899156,0.068571,77.968750,1.000000,0.452857,32,0.000575,0.001368,0.047999,6.460057,0.969009,0.000000,0.015086,0.000000
46,4.229023,0.002618,0.929849,0.102857,55.093750,1.000000,0.393429,26,0.000560,0.001815,0.020833,4.227008,0.634051,0.000000,0.023633,0.000000
47,1.175904,0.002009,0.866935,0.248571,73.644531,1.000000,0.100286,34,0.000288,0.001851,0.062927,1.173923,0.176089,0.000000,0.051392,0.000000
48,2.807665,0.002582,0.896610,0.162857,84.530273,1.000000,0.259429,32,0.000443,0.001409,0.031242,2.805256,0.420788,0.000000,0.037132,0.000000
49,6.597555,0.003700,0.990552,0.060000,83.471680,1.000000,0.472571,25,0.000610,0.001837,0.047552,6.594852,0.989228,0.000000,0.015761,0.000000
50,3.297578,0.002860,0.942791,0.137143,81.675781,1.000000,0.308286,27,0.000450,0.002450,0.026319,3.295305,0.494296,0.000000,0.035579,0.000000
51,7.073031,0.004150,1.047362,0.034286,86.415039,1.000000,0.528571,21,0.000461,0.001794,0.042539,7.070490,1.060574,0.000000,0.007573,0.000000
52,5.433306,0.003271,0.948701,0.128571,111.125000,1.000000,0.345143,28,0.000493,0.002000,0.062530,5.430644,0.814597,0.000000,0.032824,0.000000
53,6.468694,0.003682,0.992551,0.068571,103.238281,1.000000,0.459714,24,0.000571,0.001655,0.048605,6.466126,0.969919,0.000000,0.016075,0.000000
54,6.998010,0.004023,1.008071,0.042857,120.898438,1.000000,0.519429,23,0.000551,0.002075,0.042541,6.995302,1.049295,0.000000,0.011626,0.000000
55,0.638392,0.002241,0.860603,0.274286,136.375000,1.000000,0.048857,34,0.000287,0.001909,0.093324,0.636198,0.095430,0.000000,0.066326,0.000000
56,5.161555,0.004110,0.953602,0.051429,157.306641,1.000000,0.483143,27,0.000524,0.001645,0.013130,5.158332,0.773750,0.000000,0.016025,0.000000
57,6.153532,0.003934,0.915309,0.085714,177.608398,1.000000,0.430286,31,0.000524,0.001754,0.050212,6.149996,0.922499,0.000000,0.024814,0.000000
58,1.135872,0.003735,0.852827,0.248571,227.549805,1.000000,0.097429,35,0.000307,0.001676,0.063069,1.132113,0.169817,0.000000,0.086854,0.000000
59,7.590377,0.005417,0.939588,0.008571,259.259766,1.000000,0.570857,31,0.000613,0.001355,0.039309,7.585516,1.137827,0.000000,0.004425,0.000000
60,3.473703,0.003520,0.891020,0.128571,97.500000,1.000000,0.326286,30,0.000535,0.001972,0.024894,3.470639,0.520596,0.000000,0.029029,0.000000
