epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,1.396111,0.000982,0.870254,0.760000,23.500000,1.000000,0.143200,47,0.000467,0.001972,0.035688,1.395170,0.209275,0.000000,0.037219,0.000000
1,6.369004,0.001317,0.915743,0.180000,20.500000,1.000000,0.482400,41,0.000727,0.001942,0.038530,6.275567,0.941335,0.000000,0.009341,0.000000
2,2.287875,0.000929,0.888099,0.600000,24.000000,1.000000,0.229200,48,0.000495,0.002026,0.024560,2.286946,0.343042,0.000000,0.025713,0.000000
3,0.232406,0.000612,0.851506,0.960000,24.500000,1.000000,0.023600,49,0.000180,0.001900,0.098214,0.231797,0.034770,0.000000,0.029154,0.000000
4,7.416393,0.001365,0.918546,0.020000,18.000000,1.000000,0.578800,36,0.000662,0.002112,0.033507,7.320243,1.098036,0.000000,0.001353,0.000000
5,6.284645,0.001178,0.901109,0.240000,19.500000,1.000000,0.446000,39,0.000622,0.002533,0.041986,6.188674,0.928301,0.000000,0.012033,0.000000
6,6.673709,0.001258,0.904427,0.140000,19.000000,1.000000,0.498800,38,0.000676,0.002289,0.037506,6.579997,0.987000,0.000000,0.007982,0.000000
7,7.126175,0.001316,0.893040,0.080000,16.000000,1.000000,0.538800,32,0.000555,0.002575,0.035344,7.031562,1.054734,0.000000,0.004651,0.000000
8,2.063584,0.000911,0.863622,0.640000,21.000000,1.000000,0.209800,42,0.000493,0.002469,0.026740,2.062794,0.309419,0.000000,0.026690,0.000000
9,2.299521,0.000943,0.872854,0.600000,21.827148,1.000000,0.233000,44,0.000568,0.001794,0.024577,2.298662,0.344799,0.000000,0.025417,0.000000
10,1.731119,0.000849,0.858499,0.700000,22.984375,1.000000,0.177800,48,0.000425,0.002111,0.030650,1.730282,0.259542,0.000000,0.027519,0.000000
11,5.597037,0.001109,0.888560,0.320000,21.802734,1.000000,0.398800,47,0.000662,0.002191,0.045552,5.501846,0.825277,0.000000,0.015610,0.000000
12,0.107298,0.000597,0.844648,0.980000,24.500000,1.000000,0.010600,50,0.000122,0.002157,0.140000,0.106692,0.016004,0.000000,0.029597,0.000000
13,4.051854,0.001044,0.888241,0.280000,19.585938,1.000000,0.411000,46,0.000613,0.001618,0.012534,4.050847,0.607627,0.000000,0.014817,0.000000
14,1.694502,0.000874,0.872391,0.700000,26.781250,1.000000,0.173000,46,0.000555,0.002124,0.030644,1.693678,0.254052,0.000000,0.030311,0.000000
15,4.054715,0.001117,0.913530,0.300000,22.363281,1.000000,0.403600,40,0.000746,0.001767,0.013166,4.053765,0.608065,0.000000,0.018857,0.000000
16,5.899508,0.001107,0.929608,0.280000,17.312500,1.000000,0.419200,41,0.000629,0.002025,0.043734,5.804658,0.870699,0.000000,0.013848,0.000000
17,7.241613,0.001340,1.009757,0.040000,11.066406,1.000000,0.552600,27,0.000547,0.002407,0.034222,7.148017,1.072203,0.000000,0.002349,0.000000
18,3.980095,0.001375,0.995252,0.300000,19.738281,1.000000,0.404200,27,0.000684,0.002240,0.013233,3.979307,0.596896,0.000000,0.021780,0.000000
19,5.858315,0.002001,0.969597,0.300000,30.835938,1.000000,0.416200,31,0.000587,0.002395,0.044173,5.762717,0.864408,0.000000,0.014807,0.000000
20,6.891936,0.002546,1.024470,0.100000,25.277344,1.000000,0.528800,21,0.000615,0.002642,0.036281,6.796008,1.019401,0.000000,0.011181,0.000000
21,5.829113,0.001695,0.975235,0.280000,34.769531,1.000000,0.420600,29,0.000619,0.002085,0.044040,5.732882,0.859932,0.000000,0.014562,0.000000
22,5.639934,0.001533,0.971881,0.340000,35.007812,1.000000,0.387800,32,0.000545,0.002108,0.046283,5.545605,0.831841,0.000000,0.026426,0.000000
23,3.454645,0.001117,0.900692,0.720000,43.166992,1.000000,0.167200,43,0.000490,0.002186,0.079405,3.357560,0.503634,0.000000,0.039369,0.000000
24,7.141486,0.001985,1.013748,0.060000,39.179688,1.000000,0.550400,27,0.000547,0.002611,0.035072,7.045248,1.056787,0.000000,0.005311,0.000000
25,6.258820,0.002150,0.985291,0.240000,62.050781,1.000000,0.447000,34,0.000567,0.001953,0.041222,6.164493,0.924674,0.000000,0.024375,0.000000
26,5.822006,0.002647,0.988373,0.300000,109.464844,1.000000,0.410200,34,0.000548,0.002404,0.044437,5.726453,0.858968,0.000000,0.030329,0.000000
27,4.014554,0.002099,0.917044,0.620000,123.502930,1.000000,0.223000,42,0.000546,0.002044,0.067652,3.917661,0.587649,0.000000,0.063733,0.000000
28,4.655530,0.002835,0.901428,0.480000,150.718750,1.000000,0.297200,44,0.000670,0.002302,0.055681,4.560291,0.684044,0.000000,0.042515,0.000000
29,1.453664,0.002435,0.904598,0.740000,158.596680,1.000000,0.147000,44,0.000591,0.002466,0.033834,1.451490,0.217724,0.000000,0.080433,0.000000
30,3.457888,0.001123,0.910124,0.380000,23.500000,1.000000,0.354200,47,0.000647,0.002124,0.015712,3.456784,0.518518,0.000000,0.020142,0.000000
31,3.881963,0.000926,0.889619,0.620000,24.500000,1.000000,0.226600,49,0.000552,0.002167,0.066025,3.788813,0.568322,0.000000,0.024649,0.000000
32,1.719762,0.000863,0.870997,0.700000,23.000000,1.000000,0.171800,46,0.000567,0.002311,0.030652,1.718939,0.257841,0.000000,0.027885,0.000000
33,3.322213,0.000810,0.872769,0.740000,24.000000,1.000000,0.155200,48,0.000438,0.002149,0.082156,3.225808,0.483871,0.000000,0.026497,0.000000
34,3.186325,0.001094,0.892266,0.440000,21.500000,1.000000,0.325400,43,0.000678,0.002450,0.017810,3.185340,0.477801,0.000000,0.021751,0.000000
35,0.115078,0.000611,0.847805,0.980000,24.500000,1.000000,0.011400,50,0.000121,0.002248,0.140000,0.114456,0.017168,0.000000,0.030046,0.000000
36,5.825880,0.001229,0.910262,0.280000,22.000000,1.000000,0.416000,44,0.000732,0.001775,0.042972,5.733949,0.860092,0.000000,0.014640,0.000000
37,6.412748,0.001301,0.903258,0.200000,20.488281,1.000000,0.461400,42,0.000815,0.001951,0.041150,6.315391,0.947309,0.000000,0.011479,0.000000
38,4.932086,0.001090,0.887689,0.460000,21.000000,1.000000,0.321600,42,0.000647,0.002403,0.053579,4.836318,0.725448,0.000000,0.021271,0.000000
39,5.540480,0.001176,0.894053,0.340000,21.323242,1.000000,0.386600,44,0.000704,0.002309,0.046578,5.445494,0.816824,0.000000,0.017063,0.000000
40,5.002778,0.001528,0.867357,0.420000,24.667969,1.000000,0.334400,43,0.000568,0.002004,0.051954,4.906905,0.736036,0.000000,0.027869,0.000000
41,6.466267,0.001466,0.906784,0.180000,20.847656,1.000000,0.483000,38,0.000602,0.002856,0.039653,6.368975,0.955346,0.000000,0.010421,0.000000
42,2.271907,0.000917,0.880039,0.600000,20.256836,1.000000,0.227400,42,0.000716,0.002072,0.024556,2.271100,0.340665,0.000000,0.025828,0.000000
43,5.867332,0.001343,0.901320,0.280000,20.335938,1.000000,0.420600,39,0.000679,0.002542,0.043019,5.774233,0.866135,0.000000,0.014880,0.000000
44,3.634174,0.001117,0.905605,0.360000,17.968750,1.000000,0.370600,39,0.000640,0.002218,0.015049,3.633252,0.544988,0.000000,0.018729,0.000000
45,6.431275,0.001272,0.964110,0.220000,13.480469,1.000000,0.459600,29,0.000711,0.002100,0.040945,6.335575,0.950336,0.000000,0.013157,0.000000
46,6.026388,0.001258,0.949358,0.260000,14.289062,1.000000,0.435000,32,0.000651,0.002055,0.041931,5.933423,0.890013,0.000000,0.015511,0.000000
47,5.177695,0.001202,0.940754,0.420000,20.050781,1.000000,0.337200,37,0.000610,0.001745,0.052370,5.080161,0.762024,0.000000,0.022197,0.000000
48,0.127511,0.000648,0.835864,0.980000,27.994141,1.000000,0.012800,50,0.000165,0.002435,0.140000,0.126853,0.019028,0.000000,0.032082,0.000000
49,5.152414,0.001394,0.936875,0.420000,25.535156,1.000000,0.343000,40,0.000764,0.001685,0.051461,5.055662,0.758349,0.000000,0.029836,0.000000
50,6.590671,0.001606,1.018962,0.140000,20.367188,1.000000,0.504400,27,0.000837,0.002087,0.036847,6.498139,0.974721,0.000000,0.009983,0.000000
51,6.834287,0.001672,1.021826,0.080000,21.968750,1.000000,0.532000,25,0.000623,0.002570,0.035089,6.741789,1.011268,0.000000,0.008170,0.000000
52,3.042651,0.001264,0.934560,0.460000,29.875000,1.000000,0.303200,37,0.000665,0.001847,0.018536,3.041672,0.456251,0.000000,0.024927,0.000000
53,4.853901,0.001561,0.935390,0.460000,45.734375,1.000000,0.314400,38,0.000700,0.002176,0.053948,4.759074,0.713861,0.000000,0.032129,0.000000
54,3.593594,0.001359,0.910526,0.680000,50.570312,1.000000,0.191600,42,0.000491,0.002105,0.072715,3.500028,0.525004,0.000000,0.042761,0.000000
55,4.551634,0.001353,0.904439,0.520000,55.738281,1.000000,0.277800,45,0.000628,0.002134,0.058133,4.458071,0.668711,0.000000,0.035231,0.000000
56,7.305727,0.002089,1.013468,0.040000,57.834961,1.000000,0.559800,34,0.000650,0.002333,0.034146,7.210451,1.081568,0.000000,0.002189,0.000000
57,2.961386,0.001962,0.909953,0.480000,91.257812,1.000000,0.298000,41,0.000672,0.002777,0.019306,2.959743,0.443961,0.000000,0.042693,0.000000
58,6.358410,0.002669,0.944819,0.200000,134.820312,1.000000,0.468000,41,0.000754,0.002597,0.039915,6.262564,0.939385,0.000000,0.015476,0.000000
59,4.360182,0.002781,0.930112,0.240000,146.609375,1.000000,0.442600,43,0.000701,0.002299,0.011334,4.357743,0.653661,0.000000,0.025083,0.000000
60,3.342869,0.001099,0.902943,0.400000,22.500000,1.000000,0.342000,45,0.000547,0.002401,0.016446,3.341841,0.501276,0.000000,0.020190,0.000000
61,4.993000,0.001030,0.899866,0.420000,22.499023,1.000000,0.339200,45,0.000674,0.001885,0.050967,4.899033,0.734855,0.000000,0.018852,0.000000
62,2.946963,0.001042,0.898713,0.480000,23.500000,1.000000,0.294800,47,0.000664,0.002083,0.019285,2.945941,0.441891,0.000000,0.023556,0.000000
