epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,1.160826,0.000788,0.861385,0.800000,10.000000,1.000000,0.120400,23,0.000289,0.000955,0.080184,1.160085,0.174013,0.000000,0.017269,0.000000
1,5.460060,0.000573,0.914004,0.038333,4.000000,1.000000,0.410000,23,0.000371,0.000781,0.064837,5.459505,0.818926,0.000000,0.007394,25.000000
2,6.104575,0.000853,0.924318,0.031389,3.000000,1.000000,0.464800,23,0.000395,0.001035,0.056877,6.103760,0.915564,0.000000,0.013168,12.000000
3,0.238643,0.000607,0.845873,0.116868,12.000000,1.000000,0.023600,25,0.000130,0.001195,0.195959,0.238027,0.035704,0.000000,0.014920,41.000000
4,6.607709,0.000492,0.921430,0.012222,1.500000,1.000000,0.529200,21,0.000509,0.000778,0.049378,6.607262,0.991089,0.000000,0.002973,7.000000
5,2.311632,0.000602,0.879803,0.069401,7.500000,1.000000,0.229600,23,0.000287,0.001047,0.049171,2.311060,0.346659,0.000000,0.011517,31.000000
6,4.131593,0.000596,0.893874,0.064732,7.000000,1.000000,0.274800,24,0.000373,0.000858,0.085628,4.131000,0.619650,0.000000,0.011125,26.000000
7,6.118437,0.000591,0.888572,0.026889,3.000000,1.000000,0.464000,18,0.000372,0.000937,0.057736,6.117981,0.917697,0.000000,0.005670,12.000000
8,7.100112,0.001026,0.903518,0.005000,3.984375,1.000000,0.569200,22,0.000397,0.001141,0.046630,7.099172,1.064876,0.000000,0.001034,2.000000
9,7.259840,0.000649,0.914189,0.000000,2.656250,1.000000,0.599200,18,0.000482,0.001551,0.041925,7.259336,1.088900,0.000000,0.000000,0.000000
10,6.783947,0.000689,0.891390,0.019048,2.847656,1.000000,0.544400,15,0.000374,0.001181,0.049585,6.783500,1.017525,0.000000,0.003085,3.000000
11,6.224176,0.000643,0.895518,0.033000,3.785156,1.000000,0.489200,17,0.000346,0.000905,0.055515,6.223708,0.933556,0.000000,0.004563,6.000000
12,0.469814,0.000649,0.850864,0.143236,11.500000,1.000000,0.048000,23,0.000183,0.001322,0.135647,0.469206,0.070381,0.000000,0.014824,30.000000
