variant,num_sensors,aggregation_latency_ms,std_aggregation_latency,processing_overhead_ms,std_processing_overhead,loss_exposure_fraction,std_loss_exposure,energy_joules,std_energy_joules,recomputation_overhead_ms,std_recomputation_overhead,reused_microslot_count,std_reused_microslot_count
flat_epoch,500.000000,4.416653,2.144629,4.386666,2.117708,0.408222,0.284525,0.658000,0.317656,0.031230,0.357218,0.000000,0.000000
flat_epoch,1000.000000,4.373722,2.251867,4.316036,2.216093,0.416556,0.291554,0.647405,0.332414,0.006733,0.033194,0.000000,0.000000
flat_epoch,1500.000000,4.193194,2.143716,4.139152,2.107952,0.439778,0.273022,0.620873,0.316193,0.008149,0.025110,0.000000,0.000000
flat_epoch,2000.000000,4.040525,2.206706,3.989869,2.170163,0.456500,0.282586,0.598480,0.325524,0.009517,0.026430,0.000000,0.000000
flat_epoch,2500.000000,4.102702,2.228085,4.050083,2.190757,0.453022,0.281253,0.607512,0.328613,0.010312,0.013604,0.000000,0.000000
flat_epoch,3000.000000,4.164267,2.219901,4.110777,2.182925,0.445074,0.281551,0.616617,0.327439,0.012171,0.008841,0.000000,0.000000
flat_epoch,3500.000000,4.179137,2.158228,4.126487,2.121075,0.439905,0.270981,0.618973,0.318161,0.015394,0.011363,0.000000,0.000000
flat_epoch,4000.000000,4.213268,2.202367,4.159694,2.164284,0.436444,0.273122,0.623954,0.324643,0.018780,0.024198,0.000000,0.000000
flat_epoch,4500.000000,4.199889,2.187780,4.146742,2.150419,0.437951,0.274536,0.622011,0.322563,0.022118,0.021657,0.000000,0.000000
flat_epoch,5000.000000,4.111801,2.222528,4.059809,2.184731,0.449311,0.278002,0.608971,0.327710,0.025079,0.020882,0.000000,0.000000
fixed_slot,500.000000,4.758605,2.185534,4.735599,2.165840,0.233489,0.190321,0.710340,0.324876,0.025974,0.293976,0.000000,0.000000
fixed_slot,1000.000000,4.670898,2.266174,4.666451,2.265570,0.236411,0.196152,0.699968,0.339835,0.013653,0.021142,0.000000,0.000000
fixed_slot,1500.000000,4.496649,2.156699,4.492851,2.156506,0.249615,0.188940,0.673928,0.323476,0.020452,0.023839,0.000000,0.000000
fixed_slot,2000.000000,4.341098,2.221110,4.337573,2.220583,0.257944,0.193551,0.650636,0.333087,0.026645,0.022722,0.000000,0.000000
fixed_slot,2500.000000,4.409863,2.242546,4.406608,2.242364,0.259538,0.195871,0.660991,0.336355,0.033678,0.025006,0.000000,0.000000
fixed_slot,3000.000000,4.470416,2.234727,4.467247,2.234559,0.251522,0.195356,0.670087,0.335184,0.039847,0.027280,0.000000,0.000000
fixed_slot,3500.000000,4.480706,2.169601,4.477553,2.169463,0.248432,0.185842,0.671633,0.325419,0.046463,0.030508,0.000000,0.000000
fixed_slot,4000.000000,4.506995,2.206501,4.503895,2.206412,0.248083,0.190639,0.675584,0.330962,0.052887,0.041775,0.000000,0.000000
fixed_slot,4500.000000,4.498443,2.196752,4.495272,2.196636,0.248706,0.188827,0.674291,0.329495,0.061876,0.042563,0.000000,0.000000
fixed_slot,5000.000000,4.408269,2.228200,4.405084,2.228113,0.255400,0.193639,0.660763,0.334217,0.071119,0.047887,0.000000,0.000000
adaptive_slot,500.000000,4.602364,2.209382,4.578226,2.186240,0.243646,0.199339,0.686734,0.327936,0.029997,0.339346,0.000000,0.000000
adaptive_slot,1000.000000,4.501891,2.283220,4.497148,2.282691,0.248751,0.204841,0.674572,0.342404,0.012799,0.024510,0.000000,0.000000
adaptive_slot,1500.000000,4.328511,2.174388,4.324538,2.174450,0.263223,0.198430,0.648681,0.326167,0.018871,0.024599,0.000000,0.000000
adaptive_slot,2000.000000,4.170635,2.236614,4.166939,2.236098,0.272461,0.203371,0.625041,0.335415,0.024349,0.022027,0.000000,0.000000
adaptive_slot,2500.000000,4.228651,2.254459,4.225220,2.254261,0.274873,0.205586,0.633783,0.338139,0.029582,0.023156,0.000000,0.000000
adaptive_slot,3000.000000,4.278479,2.240814,4.275177,2.240592,0.268314,0.206377,0.641276,0.336089,0.033088,0.023739,0.000000,0.000000
adaptive_slot,3500.000000,4.286578,2.172335,4.283179,2.172050,0.266063,0.197227,0.642477,0.325808,0.038687,0.027039,0.000000,0.000000
adaptive_slot,4000.000000,4.323904,2.219106,4.320445,2.218874,0.266017,0.201529,0.648067,0.332831,0.045430,0.038513,0.000000,0.000000
adaptive_slot,4500.000000,4.305090,2.202167,4.301361,2.201714,0.267027,0.199296,0.645204,0.330257,0.052211,0.045077,0.000000,0.000000
adaptive_slot,5000.000000,4.214447,2.234873,4.210623,2.234289,0.274966,0.203801,0.631593,0.335143,0.058454,0.040132,0.000000,0.000000
full_plosha,500.000000,4.411573,2.139904,4.388700,2.114851,0.059160,0.092097,0.658305,0.317228,0.025111,0.317732,9.865556,10.227237
full_plosha,1000.000000,4.323488,2.214842,4.319512,2.213840,0.063412,0.094138,0.647927,0.332076,0.006712,0.024217,18.935556,19.564317
full_plosha,1500.000000,4.148628,2.107381,4.145447,2.106973,0.067580,0.093778,0.621817,0.316046,0.008779,0.021810,29.377778,27.506516
full_plosha,2000.000000,3.998317,2.170396,3.995323,2.169297,0.069676,0.092553,0.599299,0.325395,0.011049,0.027812,40.145556,35.582829
full_plosha,2500.000000,4.057375,2.189681,4.054738,2.188981,0.071830,0.093074,0.608211,0.328347,0.011730,0.014000,49.025556,43.941760
full_plosha,3000.000000,4.114413,2.179777,4.111732,2.179009,0.072540,0.092360,0.616760,0.326851,0.014069,0.011208,56.108889,51.727570
