variant,num_sensors,aggregation_latency_ms,std_aggregation_latency,processing_overhead_ms,std_processing_overhead,loss_exposure_fraction,std_loss_exposure,energy_joules,std_energy_joules
flat_epoch,500.000000,3.670092,0.374458,3.618311,0.358678,0.145778,0.063718,0.542747,0.053802
flat_epoch,1000.000000,7.335603,0.775680,7.234170,0.741668,0.145556,0.063528,1.085125,0.111250
flat_epoch,1500.000000,11.434548,1.177392,10.826972,1.115170,0.144889,0.064519,1.624046,0.167276
flat_epoch,2000.000000,15.331693,1.525540,14.517835,1.445633,0.142000,0.061214,2.177675,0.216845
flat_epoch,2500.000000,19.071801,1.977110,18.059757,1.872455,0.145111,0.065051,2.708964,0.280868
flat_epoch,3000.000000,23.074489,2.198404,21.848484,2.082343,0.139333,0.060070,3.277273,0.312351
flat_epoch,3500.000000,26.714614,2.804114,25.294373,2.655359,0.143778,0.061057,3.794156,0.398304
flat_epoch,4000.000000,30.593394,3.019803,28.966364,2.860433,0.142222,0.058836,4.344955,0.429065
flat_epoch,4500.000000,34.477542,3.449183,32.645391,3.266583,0.144000,0.064097,4.896809,0.489987
flat_epoch,5000.000000,38.141276,4.013375,36.113795,3.802456,0.145111,0.064018,5.417069,0.570368
fixed_slot,500.000000,4.004575,0.365805,4.003723,0.365969,0.082511,0.047767,0.600558,0.054895
fixed_slot,1000.000000,7.602732,0.749699,7.601865,0.749870,0.082089,0.048010,1.140280,0.112481
fixed_slot,1500.000000,11.183891,1.126733,11.182928,1.126876,0.081733,0.048027,1.677439,0.169031
fixed_slot,2000.000000,14.897354,1.454415,14.896407,1.454570,0.081367,0.049520,2.234461,0.218185
fixed_slot,2500.000000,18.412600,1.887176,18.411609,1.887362,0.082822,0.050513,2.761741,0.283104
fixed_slot,3000.000000,22.304783,2.114169,22.303779,2.114307,0.079044,0.046219,3.345567,0.317146
fixed_slot,3500.000000,25.696716,2.660228,25.695644,2.660365,0.081656,0.048418,3.854347,0.399055
fixed_slot,4000.000000,29.439554,2.873269,29.438459,2.873412,0.080189,0.044431,4.415769,0.431012
fixed_slot,4500.000000,33.077543,3.312617,33.030380,3.298239,0.080878,0.046301,4.954557,0.494736
fixed_slot,5000.000000,36.682834,3.821196,36.631473,3.803983,0.083289,0.050869,5.494721,0.570597
adaptive_slot,500.000000,3.723731,0.378903,3.717936,0.377180,0.102966,0.057501,0.557690,0.056577
adaptive_slot,1000.000000,7.375181,0.748897,7.368055,0.747112,0.096227,0.054543,1.105208,0.112067
adaptive_slot,1500.000000,11.018049,1.136346,10.980842,1.131113,0.092787,0.053122,1.647126,0.169667
adaptive_slot,2000.000000,14.759617,1.461016,14.715568,1.454120,0.089514,0.052396,2.207335,0.218118
adaptive_slot,2500.000000,18.289111,1.905133,18.233764,1.893155,0.089437,0.053370,2.735065,0.283973
adaptive_slot,3000.000000,22.160687,2.117450,22.082667,2.103274,0.084931,0.049499,3.312400,0.315491
adaptive_slot,3500.000000,25.702122,2.726622,25.615190,2.707259,0.086701,0.051644,3.842278,0.406089
adaptive_slot,4000.000000,29.400068,2.908321,29.293548,2.882558,0.084757,0.046604,4.394032,0.432384
adaptive_slot,4500.000000,33.130036,3.329036,33.005565,3.300166,0.085173,0.049472,4.950835,0.495025
adaptive_slot,5000.000000,36.636503,3.829264,36.508515,3.797134,0.087034,0.053543,5.476277,0.569570
full_plosha,500.000000,3.659397,0.371361,3.653727,0.369104,0.048830,0.035369,0.548059,0.055366
full_plosha,1000.000000,7.268634,0.745562,7.261718,0.742960,0.036403,0.029546,1.089258,0.111444
full_plosha,1500.000000,10.904852,1.136221,10.867910,1.126170,0.031088,0.029292,1.630186,0.168925
full_plosha,2000.000000,14.591699,1.463713,14.547934,1.452156,0.027837,0.027715,2.182190,0.217823
full_plosha,2500.000000,18.095678,1.890912,18.040709,1.873550,0.026364,0.028189,2.706106,0.281032
full_plosha,3000.000000,21.919172,2.106578,21.841418,2.086602,0.024366,0.027806,3.276213,0.312990
full_plosha,3500.000000,25.418462,2.700400,25.331980,2.673413,0.023649,0.027759,3.799797,0.401012
full_plosha,4000.000000,29.173534,2.911831,29.067596,2.879412,0.022426,0.026998,4.360139,0.431912
full_plosha,4500.000000,32.806450,3.317405,32.682396,3.279643,0.022363,0.028017,4.902359,0.491946
full_plosha,5000.000000,36.379738,3.825085,36.252193,3.786172,0.021969,0.028272,5.437829,0.567926
