epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,9.862068,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000587,0.001683,0.034339,9.736987,1.460548,1.406250,0.000000,0.000000
1,9.822765,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000596,0.001593,0.034339,9.697683,1.454652,1.406250,0.000000,0.000000
2,10.125550,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000612,0.001640,0.034339,10.000468,1.500070,1.406250,0.000000,0.000000
3,9.983103,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000629,0.001657,0.034339,9.858015,1.478702,1.406250,0.000000,0.000000
4,9.910020,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000684,0.001652,0.034339,9.784937,1.467741,1.406250,0.000000,0.000000
5,10.171829,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000715,0.001664,0.034339,10.046749,1.507012,1.406250,0.000000,0.000000
6,10.030813,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000621,0.001679,0.034339,9.905730,1.485859,1.406250,0.000000,0.000000
7,10.080882,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000538,0.001700,0.034339,9.955800,1.493370,1.406250,0.000000,0.000000
8,9.967830,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000586,0.001609,0.034339,9.842747,1.476412,1.406250,0.000000,0.000000
9,9.967123,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000629,0.001562,0.034339,9.842036,1.476305,1.406250,0.000000,0.000000
10,9.868403,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000587,0.001689,0.034339,9.743321,1.461498,1.406250,0.000000,0.000000
11,9.839800,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000533,0.001668,0.034339,9.714718,1.457208,1.406250,0.000000,0.000000
12,10.123915,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000617,0.001586,0.034339,9.998832,1.499825,1.406250,0.000000,0.000000
13,9.981844,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000593,0.001703,0.034339,9.856760,1.478514,1.406250,0.000000,0.000000
14,9.914282,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000637,0.001724,0.034339,9.789198,1.468380,1.406250,0.000000,0.000000
15,10.179472,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000628,0.001775,0.034339,10.054389,1.508158,1.406250,0.000000,0.000000
16,10.039326,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000624,0.001605,0.034339,9.914246,1.487137,1.406250,0.000000,0.000000
17,10.081363,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000601,0.001745,0.034339,9.956282,1.493442,1.406250,0.000000,0.000000
18,9.984406,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000667,0.001655,0.034339,9.859324,1.478899,1.406250,0.000000,0.000000
19,9.963439,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000600,0.001561,0.034339,9.838348,1.475752,1.406250,0.000000,0.000000
20,9.864294,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000567,0.001618,0.034339,9.739209,1.460881,1.406250,0.000000,0.000000
21,9.830305,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000751,0.001673,0.034339,9.705223,1.455783,1.406250,0.000000,0.000000
22,10.129589,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000680,0.001708,0.034339,10.004502,1.500675,1.406250,0.000000,0.000000
23,9.994097,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000723,0.001760,0.034339,9.869011,1.480352,1.406250,0.000000,0.000000
24,9.916903,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000708,0.001629,0.034339,9.791821,1.468773,1.406250,0.000000,0.000000
25,10.187188,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000749,0.001722,0.034339,10.062103,1.509316,1.406250,0.000000,0.000000
26,10.039916,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000823,0.001594,0.034339,9.914833,1.487225,1.406250,0.000000,0.000000
27,10.078705,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000693,0.001673,0.034339,9.953621,1.493043,1.406250,0.000000,0.000000
28,9.976108,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000619,0.001598,0.034339,9.851023,1.477654,1.406250,0.000000,0.000000
29,9.961882,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000796,0.001675,0.034339,9.836793,1.475519,1.406250,0.000000,0.000000
30,9.869546,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000695,0.001868,0.034339,9.744457,1.461669,1.406250,0.000000,0.000000
31,9.833298,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000636,0.001796,0.034339,9.708219,1.456233,1.406250,0.000000,0.000000
32,10.124277,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000676,0.001790,0.034339,9.999194,1.499879,1.406250,0.000000,0.000000
33,9.994532,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000679,0.001606,0.034339,9.869452,1.480418,1.406250,0.000000,0.000000
34,9.911313,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000705,0.001559,0.034339,9.786231,1.467935,1.406250,0.000000,0.000000
35,10.188081,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000667,0.001602,0.034339,10.062996,1.509449,1.406250,0.000000,0.000000
36,10.041010,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000780,0.001604,0.034339,9.915926,1.487389,1.406250,0.000000,0.000000
37,10.083080,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000649,0.001587,0.034339,9.957996,1.493699,1.406250,0.000000,0.000000
38,9.984021,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000633,0.001676,0.034339,9.858941,1.478841,1.406250,0.000000,0.000000
39,9.964886,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000659,0.001625,0.034339,9.839803,1.475971,1.406250,0.000000,0.000000
40,9.871922,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000625,0.001674,0.034339,9.746839,1.462026,1.406250,0.000000,0.000000
41,9.830864,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000565,0.001620,0.034339,9.705778,1.455867,1.406250,0.000000,0.000000
42,10.123416,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000647,0.001596,0.034339,9.998332,1.499750,1.406250,0.000000,0.000000
43,9.996133,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000692,0.001672,0.034339,9.871048,1.480657,1.406250,0.000000,0.000000
44,9.918863,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000593,0.001617,0.034339,9.793779,1.469067,1.406250,0.000000,0.000000
45,10.189429,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000822,0.001722,0.034339,10.064349,1.509652,1.406250,0.000000,0.000000
46,10.044665,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000624,0.001857,0.034339,9.919585,1.487938,1.406250,0.000000,0.000000
47,10.086479,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000619,0.001643,0.034339,9.961395,1.494209,1.406250,0.000000,0.000000
48,9.981803,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000538,0.001673,0.034339,9.856723,1.478508,1.406250,0.000000,0.000000
49,9.967674,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000631,0.001636,0.034339,9.842595,1.476389,1.406250,0.000000,0.000000
50,9.862613,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000590,0.001563,0.034339,9.737530,1.460630,1.406250,0.000000,0.000000
51,9.837209,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000634,0.001585,0.034339,9.712127,1.456819,1.406250,0.000000,0.000000
52,10.130578,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000774,0.001720,0.034339,10.005496,1.500824,1.406250,0.000000,0.000000
53,9.991921,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000780,0.001653,0.034339,9.866841,1.480026,1.406250,0.000000,0.000000
54,9.909220,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000724,0.001592,0.034339,9.784138,1.467621,1.406250,0.000000,0.000000
55,10.185059,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000635,0.001649,0.034339,10.059980,1.508997,1.406250,0.000000,0.000000
56,10.033877,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000725,0.001623,0.034339,9.908794,1.486319,1.406250,0.000000,0.000000
57,10.084111,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000626,0.001664,0.034339,9.959030,1.493854,1.406250,0.000000,0.000000
58,9.976531,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000733,0.001693,0.034339,9.851450,1.477717,1.406250,0.000000,0.000000
59,9.962981,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000845,0.001604,0.034339,9.837896,1.475684,1.406250,0.000000,0.000000
60,9.869211,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000700,0.001700,0.034339,9.744128,1.461619,1.406250,0.000000,0.000000
61,9.835692,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000626,0.001693,0.034339,9.710613,1.456592,1.406250,0.000000,0.000000
62,10.128002,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000721,0.001732,0.034339,10.002914,1.500437,1.406250,0.000000,0.000000
63,9.999530,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000719,0.002155,0.034339,9.874437,1.481166,1.406250,0.000000,0.000000
64,9.911465,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000716,0.001760,0.034339,9.786382,1.467957,1.406250,0.000000,0.000000
65,10.185708,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000794,0.001667,0.034339,10.060611,1.509092,1.406250,0.000000,0.000000
66,10.046524,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000720,0.001905,0.034339,9.921427,1.488214,1.406250,0.000000,0.000000
67,10.091790,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000622,0.001905,0.034339,9.966698,1.495005,1.406250,0.000000,0.000000
68,9.990241,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000730,0.001891,0.034339,9.865147,1.479772,1.406250,0.000000,0.000000
69,9.975423,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000600,0.001712,0.034339,9.850321,1.477548,1.406250,0.000000,0.000000
70,9.868574,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000612,0.001732,0.034339,9.743476,1.461521,1.406250,0.000000,0.000000
71,9.837923,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000652,0.001895,0.034339,9.712818,1.456923,1.406250,0.000000,0.000000
72,10.133666,0.000000,1.000000,0.000000,0.000000,1.000000,0.772222,0,0.000816,0.001839,0.034339,10.008579,1.501287,1.406250,0.000000,0.000000
