num_fog_nodes,scheduling_latency_ms,std_scheduling_latency_ms,state_refresh_ms,std_state_refresh_ms,workload_imbalance,std_workload_imbalance,scheduling_comm_kb,convergence_time_epochs
5.000000,0.000190,0.000394,0.000340,0.000051,0.025012,0.000000,0.156250,0.000000
10.000000,0.000286,0.000045,0.000603,0.000317,0.050002,0.000000,0.312500,0.000000
15.000000,0.000403,0.000078,0.001047,0.000388,0.048999,0.000000,0.468750,0.000000
20.000000,0.000510,0.000108,0.001347,0.000221,0.045883,0.000000,0.625000,0.000000
25.000000,0.000623,0.000117,0.001790,0.000203,0.042866,0.000000,0.781250,0.000000
30.000000,0.000732,0.000126,0.002063,0.000592,0.040234,0.000000,0.937500,0.000000
35.000000,0.000782,0.000210,0.002334,0.000507,0.037975,0.000000,1.093750,0.000000
40.000000,0.000857,0.000326,0.002571,0.000775,0.036029,0.000000,1.250000,0.000000
45.000000,0.000952,0.000339,0.002656,0.000497,0.034339,0.000000,1.406250,0.000000
50.000000,0.001001,0.000561,0.002811,0.000256,0.032857,0.000000,1.562500,0.000000
