failure_rate,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,energy_joules,scheduling_comm_kb,convergence_time_epochs
0.020000,10.494336,0.047233,0.979968,0.056291,0.533594,1.000000,0.758200,1.233333,1.570985,0.000000,0.000000
0.040000,10.445076,0.035000,0.978715,0.039897,0.550260,1.000000,0.748533,1.633333,1.558770,0.000000,0.000000
0.060000,10.137057,0.038928,0.961643,0.041724,0.633561,1.000000,0.727700,1.500000,1.517462,0.000000,0.000000
0.080000,10.008646,0.037589,0.954007,0.041172,0.692806,1.000000,0.716567,1.666667,1.498507,0.000000,0.000000
0.100000,9.645749,0.032839,0.944230,0.044299,0.792708,1.000000,0.693667,1.933333,1.444373,0.000000,0.000000
0.120000,9.658270,0.027857,0.952505,0.043446,1.105339,1.000000,0.684533,2.466667,1.441503,0.000000,0.000000
0.140000,8.973384,0.021644,0.947164,0.044275,1.033724,1.000000,0.654800,3.333333,1.342333,0.000000,0.000000
0.160000,8.721248,0.021677,0.933390,0.045186,1.184245,1.000000,0.636800,3.333333,1.305649,0.000000,0.000000
0.180000,8.677514,0.023609,0.929198,0.047460,1.129948,1.000000,0.626867,3.400000,1.299630,0.000000,0.000000
0.200000,8.068786,0.018107,0.942971,0.054424,1.301823,1.000000,0.589333,4.100000,1.208289,0.000000,0.000000
