failure_rate,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,energy_joules,scheduling_comm_kb,convergence_time_epochs
0.020000,7.887105,0.001752,0.979968,0.056291,0.533594,1.000000,0.758200,1.233333,1.181193,0.000000,0.000000
0.040000,7.690149,0.001347,0.978715,0.039897,0.550260,1.000000,0.748533,1.633333,1.147077,0.000000,0.000000
0.060000,7.434731,0.001523,0.961643,0.041565,0.633594,1.000000,0.727700,1.500000,1.113366,0.000000,0.000000
0.080000,7.377727,0.001465,0.954007,0.040835,0.692839,1.000000,0.716567,1.666667,1.105130,0.000000,0.000000
0.100000,7.116952,0.006414,0.944213,0.044299,0.792708,1.000000,0.693667,1.933333,1.066242,0.000000,0.000000
0.120000,7.084553,0.001444,0.932752,0.043937,0.814160,1.000000,0.684533,1.800000,1.061762,0.000000,0.000000
0.140000,6.635304,0.001104,0.947164,0.043888,1.033724,1.000000,0.654800,3.333333,0.992911,0.000000,0.000000
0.160000,6.411386,0.001045,0.933353,0.044773,1.170703,1.000000,0.636800,3.366667,0.960504,0.000000,0.000000
0.180000,6.388396,0.001067,0.932747,0.045469,1.115853,1.000000,0.626867,3.400000,0.957642,0.000000,0.000000
0.200000,5.994537,0.000968,0.939217,0.054736,1.288281,1.000000,0.589333,4.000000,0.898565,0.000000,0.000000
