workload_multiplier,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,energy_joules,scheduling_comm_kb,convergence_time_epochs
1.000000,11.331390,0.158950,0.959908,0.011333,5.550000,1.000000,0.350550,1.100000,1.697340,0.000000,0.000000
2.000000,23.117144,0.174650,0.960138,0.009167,6.599805,1.000000,0.628815,1.100000,3.434757,0.000000,0.000000
3.000000,35.684218,0.200500,0.961782,0.006667,7.499902,1.000000,0.894749,1.000000,5.285370,0.000000,0.000000
4.000000,45.010112,0.239400,0.962057,0.005090,10.299902,1.000000,0.900000,1.000000,6.666944,0.000000,0.000000
5.000000,58.225662,0.239000,0.962251,0.005000,9.999707,1.000000,0.900000,1.000000,8.629774,0.000000,0.000000
6.000000,67.882483,0.283250,0.961472,0.004809,12.899609,1.000000,0.890000,1.100000,10.072337,0.000000,0.000000
7.000000,77.633934,0.271800,0.954866,0.005363,16.185254,1.000000,0.870000,1.400000,11.526839,0.000000,0.000000
8.000000,88.869895,0.335650,0.961600,0.004055,15.649609,1.000000,0.890000,1.100000,13.205035,0.000000,0.000000
9.000000,102.801166,0.296500,0.962454,0.003916,15.921191,1.000000,0.890000,1.300000,15.274701,0.000000,0.000000
10.000000,113.169688,0.309050,0.962078,0.003771,16.535547,1.000000,0.890000,1.200000,16.794084,0.000000,0.000000
