workload_multiplier,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,8.117314,0.007113,0.961000,0.010000,5.000000,1.000000,0.876000,1.000000
2.000000,16.193290,0.009443,0.961100,0.007143,6.999902,1.000000,0.900000,1.000000
3.000000,24.500689,0.011587,0.962533,0.005882,8.499902,1.000000,0.900000,1.000000
4.000000,33.816195,0.015199,0.962225,0.005000,9.999805,1.000000,0.900000,1.000000
5.000000,41.193664,0.015946,0.962140,0.004545,11.000000,1.000000,0.900000,1.000000
6.000000,49.000321,0.017240,0.962317,0.004167,11.999609,1.000000,0.900000,1.000000
7.000000,57.553852,0.017114,0.962543,0.003846,12.999805,1.000000,0.900000,1.000000
8.000000,65.554580,0.019459,0.962600,0.003571,13.999902,1.000000,0.900000,1.000000
9.000000,73.690855,0.020425,0.962867,0.003333,14.999902,1.000000,0.900000,1.000000
10.000000,81.461093,0.020182,0.962920,0.003226,15.500000,1.000000,0.900000,1.000000
