failure_rate,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
0.020000,11.418360,0.099000,0.975700,0.010000,5.000000,1.000000,0.890700,1.000000
0.040000,11.268850,0.097700,0.965600,0.010000,5.000000,1.000000,0.880600,1.000000
0.060000,11.115330,0.097500,0.957400,0.010000,4.999902,1.000000,0.872400,1.000000
0.080000,10.960660,0.096700,0.948600,0.010000,5.000000,1.000000,0.863600,1.000000
0.100000,10.880120,0.100100,0.939300,0.010000,4.999805,1.000000,0.854300,1.000000
0.120000,9.593350,0.095950,0.920900,0.020000,9.999805,1.000000,0.750900,2.000000
0.140000,9.516260,0.095400,0.912700,0.020000,9.999805,1.000000,0.742700,2.000000
0.160000,9.451550,0.097700,0.904700,0.020000,9.999805,1.000000,0.734700,2.000000
0.180000,9.322280,0.095150,0.894700,0.020000,9.999609,1.000000,0.724700,2.000000
0.200000,9.207020,0.097900,0.887400,0.020000,10.000000,1.000000,0.717400,2.000000
