failure_rate,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
0.020000,8.116701,0.006850,0.975700,0.010000,4.999902,1.000000,0.890700,1.000000
0.040000,8.142043,0.006931,0.965600,0.010000,5.000000,1.000000,0.880600,1.000000
0.060000,7.981143,0.006903,0.957400,0.010000,5.000000,1.000000,0.872400,1.000000
0.080000,7.869609,0.006749,0.948600,0.010000,5.000000,1.000000,0.863600,1.000000
0.100000,7.832372,0.006833,0.939300,0.010000,4.999902,1.000000,0.854300,1.000000
0.120000,7.150773,0.007185,0.920900,0.020000,10.000000,1.000000,0.750900,2.000000
0.140000,6.907612,0.007032,0.912700,0.020000,9.999902,1.000000,0.742700,2.000000
0.160000,7.196829,0.007693,0.904700,0.020000,9.999902,1.000000,0.734700,2.000000
0.180000,6.648816,0.006734,0.894700,0.020000,9.999902,1.000000,0.724700,2.000000
0.200000,6.627261,0.006997,0.887400,0.020000,9.999902,1.000000,0.717400,2.000000
