micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,energy_joules,scheduling_comm_kb,convergence_time_epochs
1.000000,10.823430,0.054050,0.939451,0.120000,0.600000,1.000000,0.339196,1.200000,1.608803,0.000000,0.000000
2.000000,10.812840,0.064600,0.939451,0.060000,1.200000,1.000000,0.339196,1.200000,1.614327,0.000000,0.000000
3.000000,10.752130,0.086350,0.939451,0.040000,1.800000,1.000000,0.339196,1.200000,1.612269,0.000000,0.000000
4.000000,10.918550,0.088500,0.939451,0.030000,2.400000,1.000000,0.339196,1.200000,1.637163,0.000000,0.000000
5.000000,10.744330,0.097000,0.939451,0.024000,3.000000,1.000000,0.339196,1.200000,1.611123,0.000000,0.000000
6.000000,10.869130,0.118150,0.939451,0.020000,3.600000,1.000000,0.339196,1.200000,1.629852,0.000000,0.000000
7.000000,10.716370,0.121000,0.939451,0.017143,4.199902,1.000000,0.339196,1.200000,1.606949,0.000000,0.000000
8.000000,10.719580,0.134750,0.939451,0.015000,4.799805,1.000000,0.339196,1.200000,1.607420,0.000000,0.000000
9.000000,10.852000,0.140150,0.939451,0.013333,5.399902,1.000000,0.339196,1.200000,1.627272,0.000000,0.000000
10.000000,10.766790,0.151450,0.939451,0.012000,5.999707,1.000000,0.339196,1.200000,1.614502,0.000000,0.000000
12.000000,10.691200,0.169850,0.939451,0.010000,7.199902,1.000000,0.339196,1.200000,1.603170,0.000000,0.000000
14.000000,10.717870,0.206750,0.939451,0.008571,8.400000,1.000000,0.339196,1.200000,1.607137,0.000000,0.000000
16.000000,10.804570,0.221200,0.939451,0.007500,9.599902,1.000000,0.339196,1.200000,1.620106,0.000000,0.000000
18.000000,10.826300,0.254050,0.939451,0.006667,10.799805,1.000000,0.339196,1.200000,1.623429,0.000000,0.000000
20.000000,10.864750,0.272850,0.939451,0.006000,11.999707,1.000000,0.339196,1.200000,1.629190,0.000000,0.000000
