micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,energy_joules,scheduling_comm_kb,convergence_time_epochs
1.000000,8.013607,0.002629,0.939451,0.120000,0.600000,1.000000,0.339196,1.200000,1.187874,0.000000,0.000000
2.000000,8.063383,0.003336,0.939451,0.060000,1.200000,1.000000,0.339196,1.200000,1.202398,0.000000,0.000000
3.000000,7.848721,0.004053,0.939451,0.040000,1.800000,1.000000,0.339196,1.200000,1.177300,0.000000,0.000000
4.000000,7.944424,0.004908,0.939451,0.030000,2.400000,1.000000,0.339196,1.200000,1.191655,0.000000,0.000000
5.000000,7.830975,0.005238,0.939451,0.024000,2.999902,1.000000,0.339196,1.200000,1.174638,0.000000,0.000000
6.000000,7.947128,0.006120,0.939451,0.020000,3.599902,1.000000,0.339196,1.200000,1.192061,0.000000,0.000000
7.000000,7.963214,0.006569,0.939451,0.017143,4.200000,1.000000,0.339196,1.200000,1.194472,0.000000,0.000000
8.000000,7.824923,0.007372,0.939451,0.015000,4.799805,1.000000,0.339196,1.200000,1.173730,0.000000,0.000000
9.000000,7.931735,0.007677,0.939451,0.013333,5.399902,1.000000,0.339196,1.200000,1.189752,0.000000,0.000000
10.000000,7.918799,0.010471,0.939451,0.012000,6.000000,1.000000,0.339196,1.200000,1.187811,0.000000,0.000000
12.000000,7.939647,0.010461,0.939451,0.010000,7.199902,1.000000,0.339196,1.200000,1.190939,0.000000,0.000000
14.000000,7.894829,0.013124,0.939451,0.008571,8.400000,1.000000,0.339196,1.200000,1.184215,0.000000,0.000000
16.000000,7.886442,0.011873,0.939451,0.007500,9.600000,1.000000,0.339196,1.200000,1.182959,0.000000,0.000000
18.000000,7.880010,0.014091,0.939451,0.006667,10.799902,1.000000,0.339196,1.200000,1.181994,0.000000,0.000000
20.000000,7.898187,0.014359,0.939451,0.006000,11.999902,1.000000,0.339196,1.200000,1.184719,0.000000,0.000000
