micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,10.639320,0.014200,0.939300,0.100000,0.500000,1.000000,0.854300,1.000000
2.000000,10.594140,0.022200,0.939300,0.050000,1.000000,1.000000,0.854300,1.000000
3.000000,10.640500,0.031000,0.939300,0.033333,1.500000,1.000000,0.854300,1.000000
4.000000,10.655570,0.039300,0.939300,0.025000,1.999902,1.000000,0.854300,1.000000
5.000000,10.609970,0.048400,0.939300,0.020000,2.499902,1.000000,0.854300,1.000000
6.000000,10.593250,0.056200,0.939300,0.016667,2.999902,1.000000,0.854300,1.000000
7.000000,10.603260,0.067300,0.939300,0.014286,3.500000,1.000000,0.854300,1.000000
8.000000,10.591150,0.073300,0.939300,0.012500,4.000000,1.000000,0.854300,1.000000
9.000000,10.636490,0.083500,0.939300,0.011111,4.500000,1.000000,0.854300,1.000000
10.000000,10.598640,0.090700,0.939300,0.010000,5.000000,1.000000,0.854300,1.000000
12.000000,10.616180,0.106700,0.939300,0.008333,6.000000,1.000000,0.854300,1.000000
14.000000,10.599240,0.124100,0.939300,0.007143,6.999805,1.000000,0.854300,1.000000
16.000000,10.553120,0.141200,0.939300,0.006250,7.999902,1.000000,0.854300,1.000000
18.000000,10.588020,0.159600,0.939300,0.005556,8.999902,1.000000,0.854300,1.000000
20.000000,10.563380,0.174600,0.939300,0.005000,9.999707,1.000000,0.854300,1.000000
