micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,8.382774,0.002345,0.939300,0.100000,0.500000,1.000000,0.854300,1.000000
2.000000,8.624364,0.002846,0.939300,0.050000,1.000000,1.000000,0.854300,1.000000
3.000000,9.095029,0.003589,0.939300,0.033333,1.500000,1.000000,0.854300,1.000000
4.000000,9.062025,0.005065,0.939300,0.025000,1.999902,1.000000,0.854300,1.000000
5.000000,9.088088,0.004812,0.939300,0.020000,2.499609,1.000000,0.854300,1.000000
6.000000,8.410709,0.005218,0.939300,0.016667,2.999805,1.000000,0.854300,1.000000
7.000000,8.945929,0.005891,0.939300,0.014286,3.499902,1.000000,0.854300,1.000000
8.000000,9.165133,0.007071,0.939300,0.012500,3.999805,1.000000,0.854300,1.000000
9.000000,9.167878,0.008471,0.939300,0.011111,4.500000,1.000000,0.854300,1.000000
10.000000,9.078699,0.008102,0.939300,0.010000,5.000000,1.000000,0.854300,1.000000
12.000000,9.103991,0.010174,0.939300,0.008333,6.000000,1.000000,0.854300,1.000000
14.000000,8.912076,0.010848,0.939300,0.007143,7.000000,1.000000,0.854300,1.000000
16.000000,9.194287,0.012269,0.939300,0.006250,7.999805,1.000000,0.854300,1.000000
18.000000,8.913525,0.015195,0.939300,0.005556,8.999902,1.000000,0.854300,1.000000
20.000000,8.448505,0.014008,0.939300,0.005000,9.999902,1.000000,0.854300,1.000000
