incomplete_micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,energy_joules,scheduling_comm_kb,convergence_time_epochs
1.000000,9.835708,0.035067,0.944230,0.146667,0.975944,1.000000,0.693667,1.933333,1.458475,0.000000,0.000000
2.000000,9.681265,0.036100,0.944230,0.073333,1.159375,1.000000,0.693667,1.933333,1.443027,0.000000,0.000000
3.000000,9.709066,0.037039,0.944230,0.048889,1.342708,1.000000,0.693667,1.933333,1.454907,0.000000,0.000000
4.000000,9.664705,0.039861,0.944230,0.036667,1.526042,1.000000,0.693667,1.933333,1.448158,0.000000,0.000000
5.000000,9.654053,0.039511,0.944230,0.029333,1.709375,1.000000,0.693667,1.933333,1.446532,0.000000,0.000000
6.000000,9.659023,0.041111,0.944230,0.024444,1.892676,1.000000,0.693667,1.933333,1.447259,0.000000,0.000000
7.000000,9.672601,0.041728,0.944230,0.020952,2.076009,1.000000,0.693667,1.933333,1.449268,0.000000,0.000000
8.000000,9.657162,0.044706,0.944230,0.018333,2.259375,1.000000,0.693667,1.933333,1.446869,0.000000,0.000000
9.000000,9.694472,0.045083,0.944213,0.016296,2.442708,1.000000,0.693667,1.933333,1.452423,0.000000,0.000000
10.000000,9.721398,0.046356,0.944230,0.014667,2.626042,1.000000,0.693667,1.933333,1.456410,0.000000,0.000000
