incomplete_micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,energy_joules,scheduling_comm_kb,convergence_time_epochs
1.000000,7.462770,0.001876,0.944213,0.146667,0.976042,1.000000,0.693667,1.933333,1.103861,0.000000,0.000000
2.000000,7.220672,0.001686,0.944213,0.073333,1.159375,1.000000,0.693667,1.933333,1.075300,0.000000,0.000000
3.000000,7.241021,0.001856,0.944213,0.048889,1.342708,1.000000,0.693667,1.933333,1.086095,0.000000,0.000000
4.000000,7.228861,0.001898,0.944213,0.036667,1.526042,1.000000,0.693667,1.933333,1.084269,0.000000,0.000000
5.000000,7.395851,0.002150,0.944213,0.029333,1.709375,1.000000,0.693667,1.933333,1.109310,0.000000,0.000000
6.000000,7.127686,0.002001,0.944213,0.024444,1.892708,1.000000,0.693667,1.933333,1.069090,0.000000,0.000000
7.000000,7.173792,0.002195,0.944213,0.020952,2.076009,1.000000,0.693667,1.933333,1.075999,0.000000,0.000000
8.000000,7.331550,0.002477,0.944213,0.018333,2.259277,1.000000,0.693667,1.933333,1.099657,0.000000,0.000000
9.000000,7.175206,0.002203,0.944213,0.016296,2.442676,1.000000,0.693667,1.933333,1.076210,0.000000,0.000000
10.000000,7.132419,0.002270,0.944213,0.014667,2.626009,1.000000,0.693667,1.933333,1.069789,0.000000,0.000000
