incomplete_micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,10.720830,0.014200,0.939300,0.100000,0.500000,1.000000,0.854300,1.000000
2.000000,10.578800,0.022300,0.939300,0.050000,1.000000,1.000000,0.854300,1.000000
3.000000,10.591980,0.030500,0.939300,0.033333,1.500000,1.000000,0.854300,1.000000
4.000000,10.591290,0.039000,0.939300,0.025000,1.999902,1.000000,0.854300,1.000000
5.000000,10.610190,0.053000,0.939300,0.020000,2.500000,1.000000,0.854300,1.000000
6.000000,10.587800,0.056600,0.939300,0.016667,3.000000,1.000000,0.854300,1.000000
7.000000,10.602790,0.065200,0.939300,0.014286,3.500000,1.000000,0.854300,1.000000
8.000000,10.567960,0.073000,0.939300,0.012500,3.999902,1.000000,0.854300,1.000000
9.000000,10.594150,0.082100,0.939300,0.011111,4.499902,1.000000,0.854300,1.000000
10.000000,10.576640,0.090500,0.939300,0.010000,4.999805,1.000000,0.854300,1.000000
