incomplete_micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,8.422578,0.002132,0.939300,0.100000,0.500000,1.000000,0.854300,1.000000
2.000000,8.507602,0.002637,0.939300,0.050000,0.999902,1.000000,0.854300,1.000000
3.000000,8.470439,0.003375,0.939300,0.033333,1.499902,1.000000,0.854300,1.000000
4.000000,8.354241,0.004257,0.939300,0.025000,2.000000,1.000000,0.854300,1.000000
5.000000,9.006344,0.004763,0.939300,0.020000,2.500000,1.000000,0.854300,1.000000
6.000000,9.015444,0.005131,0.939300,0.016667,3.000000,1.000000,0.854300,1.000000
7.000000,8.421071,0.006219,0.939300,0.014286,3.500000,1.000000,0.854300,1.000000
8.000000,8.398652,0.006777,0.939300,0.012500,3.999902,1.000000,0.854300,1.000000
9.000000,8.427494,0.006923,0.939300,0.011111,4.500000,1.000000,0.854300,1.000000
10.000000,8.425245,0.012949,0.939300,0.010000,5.000000,1.000000,0.854300,1.000000
