variant,num_sensors,aggregation_latency_ms,processing_overhead_ms,loss_exposure_fraction
flat_epoch,500.000000,5.720120,5.716410,0.100000
flat_epoch,1000.000000,11.335800,11.332030,0.100000
flat_epoch,1500.000000,17.566250,16.921060,0.100000
flat_epoch,2000.000000,23.900060,23.042970,0.100000
flat_epoch,2500.000000,29.621860,28.546630,0.100000
flat_epoch,3000.000000,35.683970,34.396370,0.100000
flat_epoch,3500.000000,41.612770,40.113790,0.100000
flat_epoch,4000.000000,47.833560,46.118740,0.100000
flat_epoch,4500.000000,53.639630,51.709800,0.100000
flat_epoch,5000.000000,60.124820,57.981400,0.100000
fixed_slot,500.000000,5.735490,13.291860,0.012500
fixed_slot,1000.000000,11.497460,23.373390,0.008333
fixed_slot,1500.000000,17.023590,32.139990,0.006667
fixed_slot,2000.000000,22.395440,39.671860,0.005882
fixed_slot,2500.000000,28.378890,48.895350,0.005000
fixed_slot,3000.000000,33.583410,55.179670,0.004762
fixed_slot,3500.000000,39.085920,62.841980,0.004348
fixed_slot,4000.000000,44.931040,70.847340,0.004000
fixed_slot,4500.000000,50.221710,77.217930,0.003846
fixed_slot,5000.000000,55.516980,84.673340,0.003571
adaptive_slot,500.000000,6.472300,8.412560,0.014286
adaptive_slot,1000.000000,11.216540,14.164820,0.010000
adaptive_slot,1500.000000,17.688810,21.256660,0.008333
adaptive_slot,2000.000000,22.753760,26.888690,0.007143
adaptive_slot,2500.000000,28.178610,32.256110,0.006667
adaptive_slot,3000.000000,33.733470,38.533340,0.005882
adaptive_slot,3500.000000,39.378687,44.472230,0.005556
adaptive_slot,4000.000000,45.045510,50.335680,0.005000
adaptive_slot,4500.000000,51.352097,56.641210,0.004762
adaptive_slot,5000.000000,57.334251,62.978400,0.004545
full_plosha,500.000000,5.685780,5.682040,0.014286
full_plosha,1000.000000,11.234330,11.230320,0.010000
full_plosha,1500.000000,16.759540,16.691970,0.008333
full_plosha,2000.000000,22.495050,22.405600,0.007143
full_plosha,2500.000000,28.967920,28.833490,0.006667
full_plosha,3000.000000,34.599470,34.467240,0.005882
full_plosha,3500.000000,39.829617,39.607480,0.005556
full_plosha,4000.000000,44.911780,44.670460,0.005000
full_plosha,4500.000000,50.730498,50.391660,0.004762
full_plosha,5000.000000,56.154801,55.810680,0.004545
