variant,num_sensors,aggregation_latency_ms,processing_overhead_ms,loss_exposure_fraction
flat_epoch,500.000000,4.071482,4.071304,0.100000
flat_epoch,1000.000000,8.582647,8.582397,0.100000
flat_epoch,1500.000000,12.160569,12.160350,0.100000
flat_epoch,2000.000000,16.193171,16.192936,0.100000
flat_epoch,2500.000000,21.580327,21.580037,0.100000
flat_epoch,3000.000000,24.873499,24.873222,0.100000
flat_epoch,3500.000000,29.032828,29.032517,0.100000
flat_epoch,4000.000000,33.948997,33.948715,0.100000
flat_epoch,4500.000000,39.876734,39.876451,0.100000
flat_epoch,5000.000000,40.409702,40.409418,0.100000
fixed_slot,500.000000,3.932455,3.932264,0.012500
fixed_slot,1000.000000,7.963472,7.963222,0.008333
fixed_slot,1500.000000,11.847254,11.846998,0.006667
fixed_slot,2000.000000,15.799969,15.799679,0.005882
fixed_slot,2500.000000,20.185861,20.185509,0.005000
fixed_slot,3000.000000,24.009630,24.009306,0.004762
fixed_slot,3500.000000,27.537505,27.537209,0.004348
fixed_slot,4000.000000,31.536391,31.536102,0.004000
fixed_slot,4500.000000,36.915530,36.915172,0.003846
fixed_slot,5000.000000,39.931122,39.930756,0.003571
adaptive_slot,500.000000,4.000345,4.000166,0.014286
adaptive_slot,1000.000000,7.932408,7.932200,0.010000
adaptive_slot,1500.000000,11.922510,11.922270,0.008333
adaptive_slot,2000.000000,15.946916,15.946664,0.007143
adaptive_slot,2500.000000,19.994879,19.994605,0.006667
adaptive_slot,3000.000000,23.951445,23.951180,0.005882
adaptive_slot,3500.000000,27.810428,27.810156,0.005556
adaptive_slot,4000.000000,32.487487,32.487199,0.005000
adaptive_slot,4500.000000,35.996497,35.996194,0.004762
adaptive_slot,5000.000000,39.964376,39.964060,0.004545
full_plosha,500.000000,4.000132,3.982036,0.014286
full_plosha,1000.000000,7.961170,7.934230,0.010000
full_plosha,1500.000000,12.050810,12.016925,0.008333
full_plosha,2000.000000,15.978013,15.938116,0.007143
full_plosha,2500.000000,20.056870,20.017185,0.006667
full_plosha,3000.000000,24.088993,24.042158,0.005882
full_plosha,3500.000000,27.773131,27.723132,0.005556
full_plosha,4000.000000,32.161933,32.107448,0.005000
full_plosha,4500.000000,36.412678,36.357929,0.004762
full_plosha,5000.000000,41.181614,41.122761,0.004545
